"","fnlwgt","capital.gain"
"1",77053,0
"2",132870,0
"3",186061,0
"4",140359,0
"5",264663,0
"6",216864,0
"7",150601,0
"8",88638,0
"9",422013,0
"10",70037,0
"11",172274,0
"12",164526,0
"13",129177,0
"14",136204,0
"15",172175,0
"16",45363,0
"17",172822,0
"18",317847,0
"19",119592,0
"20",203034,0
"21",188774,0
"22",77009,0
"23",29059,0
"24",153870,0
"25",135285,0
"26",34310,0
"27",228696,0
"28",122066,0
"29",107164,0
"30",175360,0
"31",44064,0
"32",107287,0
"33",198863,0
"34",123011,0
"35",205246,0
"36",39181,0
"37",149650,0
"38",197163,0
"39",137527,0
"40",161691,0
"41",326232,0
"42",115806,0
"43",115066,0
"44",289669,0
"45",100820,0
"46",121253,0
"47",110380,0
"48",233882,0
"49",192052,0
"50",174995,0
"51",335549,0
"52",237729,0
"53",68898,0
"54",107276,0
"55",141584,0
"56",207668,0
"57",313243,0
"58",147372,0
"59",237608,0
"60",194901,0
"61",155106,0
"62",121441,0
"63",162028,0
"64",160724,0
"65",132222,0
"66",226355,0
"67",329980,0
"68",124137,0
"69",329980,0
"70",187702,0
"71",199029,0
"72",145290,0
"73",297248,0
"74",227856,0
"75",179731,0
"76",154374,0
"77",27187,0
"78",326857,0
"79",160369,0
"80",396745,0
"81",151089,0
"82",336188,0
"83",279015,0
"84",43221,0
"85",30529,0
"86",201742,0
"87",218490,0
"88",156996,0
"89",298449,0
"90",191712,0
"91",198654,0
"92",102308,0
"93",348521,0
"94",56248,0
"95",252752,0
"96",192963,0
"97",198759,0
"98",143123,0
"99",237713,0
"100",81929,0
"101",167793,0
"102",456062,0
"103",105478,0
"104",42402,0
"105",114580,0
"106",346478,0
"107",187870,0
"108",35576,0
"109",102346,0
"110",148995,0
"111",102308,0
"112",105252,0
"113",106175,0
"114",52138,0
"115",118902,0
"116",191978,0
"117",188044,0
"118",66624,0
"119",153183,0
"120",211287,0
"121",181655,0
"122",235882,0
"123",158685,0
"124",370767,0
"125",155141,0
"126",156516,0
"127",177305,0
"128",162945,0
"129",177408,0
"130",427422,0
"131",152307,0
"132",218637,0
"133",202699,0
"134",240857,0
"135",222405,0
"136",110862,0
"137",257269,0
"138",377931,0
"139",192923,0
"140",207938,0
"141",36671,0
"142",81413,0
"143",214955,0
"144",166295,0
"145",147707,0
"146",43554,0
"147",358893,0
"148",141058,0
"149",25322,0
"150",77071,0
"151",158702,0
"152",171328,0
"153",381789,0
"154",152569,0
"155",346635,0
"156",162140,0
"157",191765,0
"158",251905,0
"159",33310,0
"160",228921,0
"161",36364,0
"162",124930,0
"163",176046,0
"164",370890,0
"165",157145,0
"166",288825,0
"167",257295,0
"168",287983,0
"169",101978,0
"170",192779,0
"171",135296,0
"172",199114,0
"173",156897,0
"174",138107,0
"175",279833,0
"176",208577,0
"177",102942,0
"178",36385,0
"179",176185,0
"180",162613,0
"181",121362,0
"182",145933,0
"183",29591,0
"184",269417,0
"185",178510,0
"186",41108,0
"187",187901,0
"188",175070,0
"189",263561,0
"190",99131,0
"191",143833,0
"192",124449,0
"193",336007,0
"194",285408,0
"195",327825,0
"196",129460,0
"197",258298,0
"198",102359,0
"199",92431,0
"200",51744,0
"201",166149,0
"202",149811,0
"203",143118,0
"204",118363,0
"205",362165,0
"206",379066,0
"207",171424,0
"208",108293,0
"209",107801,0
"210",126675,0
"211",155603,0
"212",27882,0
"213",242564,0
"214",234083,0
"215",23510,0
"216",181232,0
"217",166481,0
"218",139916,0
"219",144594,0
"220",266707,0
"221",303176,0
"222",56460,0
"223",167523,0
"224",119004,0
"225",175925,0
"226",212847,0
"227",191175,0
"228",83043,0
"229",170214,0
"230",180714,0
"231",177351,0
"232",111483,0
"233",282642,0
"234",309955,0
"235",215908,0
"236",23494,0
"237",147551,0
"238",141221,0
"239",116903,0
"240",119129,0
"241",143582,0
"242",342384,0
"243",68899,0
"244",207107,0
"245",149044,0
"246",148524,0
"247",268639,0
"248",272019,0
"249",239753,0
"250",199864,0
"251",125831,0
"252",67728,0
"253",115717,0
"254",172281,0
"255",305053,0
"256",105010,0
"257",291052,0
"258",248919,0
"259",84119,0
"260",105540,0
"261",161765,0
"262",195635,0
"263",816750,0
"264",160192,0
"265",136081,0
"266",244473,0
"267",187033,0
"268",265807,0
"269",154410,0
"270",314007,0
"271",179743,0
"272",117037,0
"273",40135,0
"274",315423,0
"275",35429,0
"276",120837,0
"277",90614,0
"278",202878,0
"279",260954,0
"280",127084,0
"281",107231,0
"282",135102,0
"283",201822,0
"284",413363,0
"285",148138,0
"286",170721,0
"287",102858,0
"288",175262,0
"289",36936,0
"290",169982,0
"291",208407,0
"292",131777,0
"293",41090,0
"294",183739,0
"295",357540,0
"296",48520,0
"297",107916,0
"298",198613,0
"299",283743,0
"300",210940,0
"301",355978,0
"302",241616,0
"303",57651,0
"304",315877,0
"305",74680,0
"306",454508,0
"307",202046,0
"308",121102,0
"309",146879,0
"310",213955,0
"311",123382,0
"312",277783,0
"313",199741,0
"314",378322,0
"315",264390,0
"316",210029,0
"317",61885,0
"318",102942,0
"319",209297,0
"320",198459,0
"321",40052,0
"322",93476,0
"323",174789,0
"324",189759,0
"325",297847,0
"326",124953,0
"327",116358,0
